text,aspect_words,labels
the mouse pad and buttons are the worst i've ever seen.,mouse pad,0
The brand is tarnished in my heart.,brand,0
"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.",user interface,2
also it comes with very useful applications like iphoto that it is the best photo application i have ever had,applications,2
Keyboard is great but primary and secondary control buttons could be more durable.,control buttons,0
"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around.",graphics cards,2
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,2
"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",software,0
It has all the features that are necessary for college and if not they are able to be added onto the computer.,features,2
What I'd like is for the laptop to run well without having to purchase additional memory.,run,1
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",price range,0
"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.",features,1
The gray color was a good choice.,gray color,2
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,trackpad,0
Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,wall charger,1
"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",performance,2
I'm really impressed with the quality and performance for the price of the computer.,quality,2
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",school or office use,1
"They said that my computer was covered on an extended warranty, and that products with extended warranties are taken care of through third parties and not Sony itself anymore.",extended warranties,1
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",appearance,0
I regret buying it before understanding how awful it is to use.,use,0
The touch pad is among the best.,touch pad,2
"The image is great, and the soud is excelent.",soud,2
"Once again, I was told it was the suspicious  power supply  problem.",power supply,0
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,quality,2
", Applications respond immediately (not like the tired MS applications).",MS applications,0
"While Apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,2
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",price,2
"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",MS Office,1
"-Bluetooth (2.1), Fingerprint Reader, Full 1920x1080 screen -Integrated Mic/Webcam* -Dual touchpad mode is interesting, and easy to use -5 USB ports -Runs about 38-41C on idle, Up to 65 (for me) on load -Very quiet -I could go on and on.",Mic,2
"Everything about the Mac is not only visually appealing, but very easy to use.",use,2
That system is fixed.,system,1
I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,performance,2
"Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!",repair center,1
"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",Windows 7 Starter,1
Quality Display  I was surprised with the performance and quality of this HP Laptop.,performance,2
"Great product, very easy to use and great graphics.",graphics,2
"The design is awesome, quality is unprecedented.",quality,2
"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.",fan,1
"Well I spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 DVD.",battery,0
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.",Drivers/Applications DVD,1
Not to mention the fact that your mac comes fully loaded with all necessary basic programs.,programs,2
It just works flawlessly!,works,2
when i first got it i thought the size of it was a joke.,size,0
Or the cursor would show up some place else.,cursor,0
"InNovember my computer messed up entirely and wouldn't power on after intalling a Windows update, I had to have my HD flashed and lost EVERYTHING on it, including my school assignments and irriplaceable pictures that were only in digital format and several other things, when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history.",drivers,0
It is not ideal for children because of the temp.,temp,0
"Again, the same problem, the right speaker did not work.",right speaker,0
"The 17 inch screen is very large, but the computer is very light.",17 inch screen,0
"It's applications are terrific, including the replacements for Microsoft office.",Microsoft office,2
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,mousepad,1
The store honored their warrenty and made the comment that they don't even recommend the HP brand because of the problems with their warrentys.,warrenty,2
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,2
I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,usb port wires,1
It does not keep internet signals no matter where you bring it.,internet signals,0
"I wish iWork or MS Office came with the Mac, but MS Office doesn't even come with most pc laptops.",MS Office,0
"I wish it had a webcam though, then it would be perfect!",webcam,0
Oh and it has word and stuff but its a trial verion so after about a month or so when you go to open it it asks for a product key which didnt come with the computer and even after clicking cancel it wont let you use it at all I use the old word processer which works good.,word processer,2
"I love the feel of the key board, as well as the trackpad.",key board,2
"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",battery life,0
The start menu is not the easiest thing to navigate due to the stacking.,start menu,0
"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.",Office,2
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,2
"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.",speakers,0
"Info: Windows failed to load because the kernal is missing, or corrupt.",Windows,0
I have had no problems with it unlike some hardware defects on past models.,hardware,0
"One drawback, I wish the keys were backlit.",keys,0
Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.,warrenty,0
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,processor,0
" Also, I have had alot of trouble with the keys sticking and will not type correctly.",keys,0
The price is another driving influence that made me purchase this laptop.,price,2
It had the full sized touch pad with 2 buttons instead of just one.,touch pad,1
It works really well.,works,2
BUT there's this application called Boot Camp which allows you to add another OS X like Windows.,OS X,1
 I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,0
The only bad part is the size/weight.,size,0
Peformance is good for the price.,price,2
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",program,2
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",headphone,0
 The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",music,1
Asus facial recognition doesn't work and windows logon isn't either.,windows logon,0
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",components,2
EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.,KEYS,0
You have to toss out the wifi card and replace it just to have any sort of network capability.,network capability,0
"We use the built in tools often, iTunes is open nearly every day and works great with my iPhone.",built in tools,1
Memory is upgradable.,Memory,2
"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",program,2
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",subwoofer,2
"Of course, I inspected the other netbooks and clearly their hinges are tighter and I even demonstrate the difference between my netbook and others.",hinges,0
Charger seems large for this class of computer.,Charger,0
"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.",value,2
"I dislike the weight and size, cubersome.",weight,0
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,2
"Would like more trendy, high tech features.",features,0
"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",surfing,1
It runs very quiet too which is a plus.,runs,2
I also did not like the loud noises it made or how the bottom of the computer would get really hot.,bottom of the computer,0
"The processor went on me, the fan went and the motherboard went.",motherboard,0
" We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",update,0
"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.",warranty,0
"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.",warranty,0
 Again I sent it back and they replaced the motherboard and some fan inside.,fan,1
Took several hours with customer support before I could even start the PC out of the box.,customer support,0
The materials that came with the computer did not include the right # anywhere.,materials,0
"Seems to slow down occassionally but can run many applications (ie Internet tabs, programs, etc) simultaneously.",programs,1
The screen is very large and crystal clear with amazing colors and resolution.,colors,2
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",mouse,1
"If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.",game,1
it is very easy for anyone to use an apple and specially the mcbook pro notebook.,use,2
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,quality,2
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iWeb,2
the screen brightness automatically adjusts.,screen brightness,1
and it comes with the new OSX that comes with new features that makes the use more easy.,features,2
I believe that the quality of a mac is worth the price.,price,2
A seventy dollar mouse!,mouse,1
"I've owned this labtop for less then two months, already the mouse button has broke.",mouse button,0
"But sitting on a lap or on a desk in front of you it looks more than big enough (this could be because Im used to my Lenovo 10 tablet now) plus this is a great size if I want to unplug the external keyboard, mouse, and monitor to take it with me when I take photos and video.",monitor,1
There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,1
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",Windows 7 Starter,1
in May I started having problems with the USB ports not working.,USB ports,0
The right speaker did not work.,right speaker,0
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,2
It's fast and has excellent battery life.,battery life,2
It rarely works and when it does it's incredibly slow.,works,0
There is no number pad to the right of the keyboard which is a bummer.,keyboard,0
"Your cursor will end up all over the freaking place,,,it's not uncommon for me to accidentally delete words, sentences, paragraphs because of this mousepad.",cursor,0
For the price and what I get out of it has exceeded my expectations.,price,2
"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,1
Everything from the design to the OS is simple and to the point.,design,2
Every driver on the drivers/applications DVD is everything you will need for a reload.,drivers/applications DVD,2
"The screen graphics and clarity, and sharpness are great.",screen graphics,2
"I have had another Mac, but it got slow due to an older operating system.",operating system,0
There is hardly any memory on the computer's hard drive.,hard drive,0
It's just as fast with one program open as it is with sixteen open.,program,1
10 hours of battery life is really something else....,battery life,2
"This is the first time that I tried and owning a netbook although I have used 3 different laptops in the past 10 years, I find not much difference except of course for the screen size.",screen size,1
It made the computer much easier to use and navigate.,navigate,2
"The leather carrying case, keyboard and mouse arrived in two days from Memphis warehouse.",keyboard,1
"Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!",shipping,0
"I feel that it was poorly put together, because once in a while different plasticpieceswould come off of it.",plastic pieces,0
"More times that not the screen pops up saying I have a bad internet connection, or the page can't be displayed.",internet connection,0
"All in all, a very disappointing experience except that I learned how good the Geek Squad is and also Customer Service.",Customer Service,2
"The price is great for this model, I only plan on using it for media in the entertainment room.",price,2
"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",features,2
"Did I mention everything about it, from size to weight to keyboard screams BULK?",keyboard,0
"The screen is bright and clear, the operating system is solid and friendly to a novice.",screen,2
The letter A stopped working after the first week.,letter A,0
"I had of course bought a 3 year warranty, so I sent it in to be replaced and (almost 2 months later) the dv4 is what the sent me as a replacement.","3 year warranty,",1
"If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.",drivers,0
This is a great little computer for the price.,price,2
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",Resolution,0
"The battery holds up well, it's built very solidly, and runs fast.",built,2
Learning all of the keyboard shortcuts only took a few minutes to get used to as some of the shortcuts are the same on Windows machines.,keyboard shortcuts,2
I thought the price was great for the specs.,price,2
"In fact, somehow (and I never opened it up) some specks of dust or something got inside the screen and are now there permanently, behind the front of the screen, in the way of the display.",screen,0
"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",size,2
"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.",value,2
"The design is awesome, quality is unprecedented.",design,2
It has good speed and plenty of hard drive space.,speed,2
"Features such as the Dashboard (allows you to view frequently used tools like a calculator, weather forecast, movie times, calendar, computer post its etc.",Features,1
"We also use Paralles so we can run virtual machines of Windows XP Professional, Windows 7 Home Premium, Windows Server Enterprise 2003, and Windows Server 2008 Enterprise.",Paralles,1
"Once open, the leading edge is razor sharp.",leading edge,0
It was super easy to set up and Is really easy to get used to.,set up,2
although its windows vista compared to windows xp sucks.,windows vista,0
"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.",screen,2
"It started out by randomly ceasing to charge when it was plugged in (mousing over the battery icon would read, for example, ""74%, plugged in, not charging""), requiring me to unplug it and plug it back in several times to get it to charge.",charge,1
When you call tech support you were routed to someone who was in another country and did not know what they were doing.,tech support,0
But Sony said we could send it back and be charged for adding the bluetooth an additional seventy something dollars.,adding the bluetooth,0
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",components,0
I 'have had it for about a 1 1/2 and yes I have had an issue with it one month out of warranty.,warranty,1
 However the frozen screens kept happening.,screens,0
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",software,2
"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.",Windows,0
The battery life is great.,battery life,2
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,0
Lightweight and the screen is beautiful!,screen,2
Quality Display  I was surprised with the performance and quality of this HP Laptop.,Quality Display,2
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,1
"All of the programs (Keynote, Pages, Numbers) have an option to save your documents as Microsoft compatible, which really eliminates the need for the actual.",Keynote,1
"*=Webcam is a bit laggy, not the greatest.",Webcam,0
I guess the only good thing that came out of these were the speakers and the subwoofer.,subwoofer,2
" It is easy to use, fast and has great graphics for the money.",use,2
I especially like the backlit keyboard.,backlit keyboard,2
You can even run a parallels type program easily and run any leftover PC software that you absolutely cannot be without.,software,2
"No, tey don't even support their own bios and it ""could be a problem with the bios"" How can a company that makes a fairly decent product get away with such insanity??!!",bios,0
I don't understand why only Windows 7 Starter is included.,Windows 7 Starter,0
It seems they could have updated XP and done without creating Vista.,Vista,0
The LED backlit display makes my pictures pop so much more.,LED backlit display,2
It's even easy to hook up to other wireless networks.,hook up to other wireless networks,2
Returned laptop for a 3rd repair and it came back with previous problems fixed (except for speaker grill) but the unit started locking up during use and eventually would not operate at all.,speaker grill,0
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",iPhoto,1
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,2
Wonderful sleek case design is only on the outside.,case design,2
"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",toshiba customer services,0
overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,cd drive,1
"The speed gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.",speed,2
The only thing is that the battery won't last more than 1/2 an hour.,battery,0
"I know that everyone thinks Macs are overpriced and overrated, but once you get past the initial expense you'll find that they're worth every penny (besides, there's always the financing plan that Best Buy offers).",expense,0
"No, tey don't even support their own bios and it ""could be a problem with the bios"" How can a company that makes a fairly decent product get away with such insanity??!!",bios,0
"Looks nice, but has a horribly cheap feel.",feel,0
The ease of use is wonderful.,use,2
"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.",gaming,1
I love WIndows 7 which is a vast improvment over Vista.,WIndows 7,2
"Compared to similarly spec'd PCs, this machine is good value, well built and works easily right out of the box.",works,2
"They say it could be the motherboard again, but Dell",motherboard,0
"It bluescreened on me without any warning, running simply basic Chrome.",Chrome,0
Strengths:Well-shaped Weaknesses:A bad videocard!,videocard,0
I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,touchpad,0
I have only had PCs with Windows before so this takes a little getting use to.,Windows,1
"Before, I reloaded with Windows 7 Ultimate and used only the downloaded drivers from Acer's site.",Windows 7 Ultimate,1
I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes.,system,1
"After purchasing this thing, I find out that I need a special interface device to connect my camera, and that it cannot be purchased at the store - only on line.",interface device,0
Iphoto is great for adding pictures right to facebook and other social networking sites.,Iphoto,2
" Now, as easy as it is to use, and I do think it is a great STARTER laptop.",use,2
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",MSN Messenger,1
"I do not experience a lot of heat coming out of it, however I would highly suggest purchasing a stand however, due to the nature of the design of the macbook as it is one very large heat sink.",heat sink,0
(No problem with the ordering or shipping by the way.,shipping,2
"Simple to use, and great graphics.",graphics,2
Apple care included.,Apple care,1
The ease of set up was terrific.,set up,2
It is fast and i have not had a problem with internet connection or any other problems.,internet connection,2
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,0
"The minute you fire it up it's all good, very easy user interface.",user interface,2
I liked the aluminum body.,aluminum body,2
"Garageband is easy to work with, like all the other apple applications I've had experience with.",apple applications,2
The large screen also helps when you are working in design based programs like Adobe Creative Suite.,screen,2
"My laptop cost approximately $2,300 and DIED after only 2-years, 10-months and 18-days of use.",cost,0
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",shipping,2
"Windows XP SP2 caused many problems on the computer, so I had to remove it.",Windows XP SP2,0
"But the quality, in general was less than the worth of the cheap laptop.",quality,0
The large screen also helps when you are working in design based programs like Adobe Creative Suite.,design based programs,1
Its fast and another thing I like is that it has three USB ports.,USB ports,2
The difference is the Toshiba had a lot more memory and hard drive space.,hard drive space,2
"So then you may be lucky to get ahold to someone who understands that its no good and they will let you send it back, but of course you are taking a chance of them testing it out to see what has happened, and they tell you that it was not on their side , then you are stuck paying for the repair (the price of a new one).",price,0
"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",Setting,0
The built in camera is very useful when chatting with other techs in remote buildings on our campus.,built in camera,2
I can have both OSX and Windows XP running at the same time!,Windows XP,2
Second HDD cover has walls inside that need to be broken if you what to install one.,HDD cover,1
I looked around and based off my price/features comparison from a brand I trusted I landed here.,features,1
"We love the size of the screen, although it is still lightweight and very easy to tote around.",size of the screen,2
It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,Mac OS,2
"The price was very good, and the product is top quality.",quality,2
"Even with virus protection, it always turned off when updates were needed and installed.",virus protection,0
The Material this Pro is made out of seems a lot nicer than any PC  Specs: Like I said this performs a lot better than any computer I've had in the past.,Specs,0
Great pick for portability and affordability.,affordability,2
"My only disappointment with the 13"" model is that they're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards, however the trade-off is that you achieve a longer battery life (of about 2 more hours).",graphics cards,0
Now I have the best of both worlds with all of the power and ease of the Mac!,ease,2
After that I turned to email in my next vain help to get them to acknowledge that the warranty was still valid.,warranty,1
Sony parts reliability and quality of service is recenlty the worst.,service,0
/ awesome cooling system/ much better grafics card (ATI 5870) / 8GB RAM/ LED backlit screen...,8GB RAM,2
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",HDD,2
I've been impressed with the battery life and the performance for such a small amount of memory.,memory,0
wonderful features.,features,2
lots of extra space but the keyboard is ridiculously small.,space,2
 After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.,hard drive,0
"Fully charged, the MacBook Pro can last about five hours unplugged.",charged,2
"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",LCD,1
I will have to purchase Spy ware or Nortell for privacy protection.,Nortell,1
"I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.",iphoto,2
"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size,2
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,2
"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.",hard drive,0
"Also the speakers are not very loud, But it is a netbook.",speakers,0
"the features are great, the only thing it needs is better speakers.",speakers,0
The laptop is outstanding in all aspects except that it has the Windows 7 starter and not the full Windows 7.,Windows 7 starter,0
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",GarageBand,2
"The only thing I didn't learn in my research was the software I would need like privacy protection and warranty protection, in case it gets broken, or crashes etc.",software,1
and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,0
"For me, keys were starting to get stuck and wouldn't type very well.",keys,0
For those that care about noise this thing doesn't really make any;,noise,2
"The video card is great for media, and above average for gaming, but not a gamers first choice.",media,2
"It was not clear that the Microsoft Student Edition that was loaded on the computer, was a six month trial.",Microsoft Student Edition,0
"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",Time Machine,1
This is a great value for the money.,value,2
He has replaced his hard drive twice and (of course) has had to pay for antivirus software every year.,antivirus software,0
The battery life is probably an hour at best.,battery life,0
It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.,keyboard,2
The only thing i can say is that the touch pad doesnt work like it should all the time.,touch pad,0
It does not even have the software to play a dvd now.,software,0
"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size,2
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Dreamweaver,1
"Great value, fast delivery- Computer works as if brand new, no problems, very pleased",delivery,2
Fan noise: The fan made a constant hissing noise in the background.,Fan,0
"Theres also iDVD, a program dedicated to putting all your favorite media together- photos, recordings, video projects into one program so that you can create the perfect memoir for your parents, family, siblings, and any other person important in your life that there may be.",program,2
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",Sony Sonic Stage software,1
A key contributor that led me to Mac is the art aspect.,art aspect,2
"It is also very lightweight, making transporting this computer very easy.",transporting,2
The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.,windows 7 system,0
"The battery life seems to be very good, and have had no issues with it.",battery life,2
"The quality, engineering design and warranty are superior--covers damage from dropping the laptop.",quality,2
I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.,repair depot,1
I couldn't believe how long the battery lasted on a single charge.,charge,2
"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",memory,2
"I love the easy to see screen, and It works well for work, persoal or just play.",works,2
They really do have the worlds very worst repair service.,repair service,0
Runs smooth and quick.,Runs,2
"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",keys,0
Microsoft seems to be unable to keep up with repairs for the multitude of windows problems.,windows,0
"I love the size, keyboard, the functions.",functions,2
I needed a driver for my HP and they would not help me with out me paying over $50 for it.,driver,1
"Good keyboard, long battery life, largest hard drive and windows 7.",hard drive,2
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,0
"I love its solid build, light wt and excellent battery life (for now).",build,2
"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",response,2
The price and features more than met my needs.,price,2
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iLife software,2
But the screen size is not that bad for email and web browsing.,screen size,2
The next time I had an issue my lightscribe wouldn't work.,lightscribe,0
EITHER THE COMPUTER IS TOO SLOW TO DETECT THE KEYS TYPED (THIS IS UNLIKELY AS I AM A SLOW TYPIST) OR THE KEYBOARD SIMPLY DOES NOT DETECT THE KEYS BEING TYPED.,KEYS,0
The switchable graphic card is pretty sweet when you want gaming on the laptop.,switchable graphic card,2
Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,cords,0
I bought this laptop because of the performance to price ratio.,price,2
I've been impressed with the battery life and the performance for such a small amount of memory.,battery life,2
) And printing from either word processor is an adventure.,word processor,0
"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",battery life,2
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",DELL SUPPORT,2
"From the get-go, the M6809 was unsteady in its operation;",operation,0
"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",run,0
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,0
Keys stick periodically and I havent had the laptop for 45 days yet.,Keys,0
"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",screen,2
My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,resolution,0
"My last computer, a Toshiba, cost only $400, and worked like a charm for many years.",cost,2
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Office Mac applications,0
I also liked the glass screen.,glass screen,2
"The improvements to the OS have been relatively gradual, but substantive.",O,2
Since I've had this computer I've only used the trackpad because it is so nice and smooth.,trackpad,2
The programs that come standard with the Leopard running system are enough for the average person to run all the basics.,Leopard running system,1
"I also purchased iWork to go with it which has programs for word processing, spreadsheets, and presentations (similar to Microsoft Office).",Microsoft Office,1
I personally like the gaming look but needed a machine that delivered gaming performance while still looking professional in front of my customers.,gaming performance,2
The keyboard feels good and I type just fine on it.,keyboard,2
"however, I may have inadvertently thrown out one of the batteries with the shipping carton.",shipping carton,1
